framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,max_conv_length,comment
defects4j,Chart,1,SL SH SF,43,263426,1,1,200,200,1,35,0,176849,,,200,200,0,200,18,370929,1,1,100,100,1,79,3,
defects4j,Chart,2,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,,,,,,,,,0,159906,,,200,200,100,100,0,105884,,,100,100,48,52,3,
defects4j,Chart,4,SF,,,,,,,,,,,,,,,,,5,395868,4,1,100,100,2,93,3,
defects4j,Chart,5,SF,,,,,,,,,,,,,,,,,8,269294,25,1,100,100,27,65,3,
defects4j,Chart,6,SH SF,,,,,,,,,30,263605,114,3,200,200,53,115,27,240151,20,2,100,100,17,54,3,
defects4j,Chart,7,SF,,,,,,,,,,,,,,,,,8,386142,6,3,100,100,2,90,3,
defects4j,Chart,8,SL SH SF,23,137279,1,1,200,200,7,76,9,88617,1,1,200,200,1,181,11,50530,7,1,100,100,0,77,3,
defects4j,Chart,9,SL SH SF,64,296733,1,1,200,200,14,13,24,136980,4,1,200,200,4,161,16,322902,1,1,100,100,29,55,3,
defects4j,Chart,10,SL SH SF,0,100437,,,200,200,0,200,4,106858,157,1,200,200,1,195,27,197236,14,2,100,100,0,72,3,
defects4j,Chart,11,SL SH SF,1,97013,1,1,200,200,116,11,2,105058,1,1,200,200,19,79,14,382432,1,1,100,100,0,85,3,
defects4j,Chart,12,SL SH SF,10,107544,55,1,200,200,17,59,36,376293,8,2,200,200,12,106,20,278658,4,1,100,100,3,65,3,
defects4j,Chart,13,SL SH SF,28,351420,1,1,200,200,1,92,30,364442,1,1,200,200,7,63,4,385000,10,1,100,100,6,89,3,
defects4j,Chart,14,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,,,,,,,,,0,112189,,,200,200,8,192,52,231159,14,2,100,100,15,24,3,
defects4j,Chart,18,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,19,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,10,102473,1,1,200,200,47,15,23,175656,1,1,200,200,11,58,34,165838,1,1,100,100,0,36,3,
defects4j,Chart,21,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,22,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,,,,,,,,,0,100897,,,200,200,0,200,0,47990,,,100,100,0,100,3,
defects4j,Chart,24,SL SH SF,0,115628,,,200,200,0,200,0,128765,,,200,200,0,200,40,316930,1,1,100,100,4,52,3,
defects4j,Chart,25,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,,,,,,,,,,,,,,,,,2,406495,1,1,100,100,0,98,3,
